maskIdx,reward
16,53.354000
16,64.974000
16,51.870000
16,38.864000
16,38.430000
16,45.626000
16,59.752000
16,61.376000
16,68.166000
16,68.236000
16,60.872000
16,49.896000
16,52.052000
16,49.252000
16,48.916000
16,55.566000
16,56.070000
16,55.496000
16,52.052000
16,45.136000
16,42.504000
16,36.890000
16,35.504000
16,44.982000
16,43.764000
16,53.032000
16,65.226000
16,63.686000
16,44.954000
16,45.430000
16,39.228000
16,63.140000
16,57.386000
16,64.162000
16,63.630000
16,59.528000
16,64.400000
16,60.466000
16,59.094000
16,50.092000
16,52.066000
16,49.294000
16,45.570000
16,37.114000
16,49.308000
16,60.284000
